Law Firm Name,Auction Address,Auction Date,Auction Time,Complete Address of Property,City,State,Downpayment,Original Loan Date,Original Loan Amount,Estimated Zillow Value
"BWW Law Group, LLC","9311 Lee Ave, Manassas, VA 20110",8/23/2017,9:00:00 AM,"5442 Lomax Way, Woodbridge, VA 22193",Woodbridge,VA,40400,38894,404000,435959
"ALG Trustee, LLC","18 E Market St, Leesburg, VA 20176",8/25/2017,11:00:00 AM,"10603 Oxford Ct, Great Falls, VA 22066",Great Falls,VA,12000,38587,378000,482579
Surety Trustees,"9311 Lee Ave, Manassas, VA 20110",8/17/2017,3:30:00 PM,"7689 Vinewood Ct, Gainesville, VA 20155",Gainesville,VA,34800,39078,348000,461948
"BWW Law Group, LLC","1871 Poplar Rd, Stafford, VA 22556",8/16/2017,9:00:00 AM,"4703 Kellogg Dr, Woodbridge, VA 22193",Woodbridge,VA ,34700,,347000,331728
"Substitute Trustees Mid-Atlantic Auctioneers, LLC","200 Charles St, La Plata, MD 20646",8/15/2017,1:30:00 PM,"6601 Cottontail Ct, Waldorf, MD 20603",Waldorf,MD,32000,42041,321772,331794
Substitute Trustee,"1425 N Courthouse Rd #6700, Arlington, VA 22201",8/22/2017,10:00:00 AM,"2022 S Nelson St, Arlington, VA 22204",Arlington,VA,20000,38519,300000,469447
"Angela Nasuta Substituted Trustees Tidewater Auctions, LLC","14735 Main St, Upper Marlboro, MD 20772",8/11/2017,10:30:00 AM,"16333 Pennsbury Way, Bowie, MD 20716",Bowie,MD,20000,,,210437
Substitute Trustees,"5335 Wisconsin Avenue NW, Suite 440, Washington, DC 20015",8/25/2017,11:00:00 AM,"2511 Palmer Pl SE, Washington, DC 20020",Washington,DC,13000,39296,,259774
"ALEX COOPER AUCTIONEERS, INC","5301 Wisconsin Ave, NW #750, Washington, DC 20015",8/30/2017,12:16:00 PM,"1424 Belmont St NW, Washington, DC 20009",Washington,DC,28000,38401,,1529761
"ALEX COOPER AUCTS., INC","5301 Wisconsin Ave. NW #750, Washington, DC 20015",8/31/2017,11:30:00 AM,"2850 Hartford St., SE #301 Washington, DC 20020",Washington,DC,19000,38918,,64521
"Angela Nasuta Substituted Trustees Tidewater Auctions, LLC","14735 Main St, Upper Marlboro, MD 20772",8/11/2017,10:30:00 AM,"10647 Joyceton Dr, Upper Marlboro, MD 20774",Upper Marlboro,VA,25000,,,214931
Substitute Trustee,"Circuit Court building, Prince William, Virginia",7/25/2017,9:30:00 AM,"11506 Club Ct, Woodbridge, VA 22192",Woodbridge,VA,,39248,,520720
