,_id_x,auction_location,auction_time,city_url,date_of_auction,date_of_scraping,deposit,law_firm,lawfirm,listing_url,principal_amount,principal_date,property_address,url,_id_y,bathrooms,bedrooms,lat,lng,lot_size,region_name,unique_id,zcity,zestimate,zpid,zstate,zstreet_address,zzip
0,5ca7b617737ae14b3cac1bfb,[],auction_time,,date_of_auction,07:55.6,67500,,lawfirm,listing_url,675000,principal_date,"4106 north randolph street, arlington, va 22207",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae48f7737ae14cfce01b5f,3,4,38.928482,-77.121981,11890,Arlington,5ca7b617737ae14b3cac1bfb,Arlington,1237452,12059518,VA,4106 N Randolph St,22207
4,5ca7b72a737ae14b3cac1bfc,[],auction_time,,date_of_auction,14:34.2,15121,,lawfirm,listing_url,151210,principal_date,"31 canterbury square, apt. 201, alexandria, virginia 22304",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae48f7737ae14cfce01b60,1,,38.813867,-77.121951,,Landmark-Van Dom,5ca7b72a737ae14b3cac1bfc,Alexandria,163813,192147210,VA,31 Canterbury Sq APT 201,22304
8,5ca7b72a737ae14b3cac1bfd,[],auction_time,,date_of_auction,14:34.4,5000,,lawfirm,listing_url,-1,principal_date,"3314 s. 28th street, #203, alexandria, va 22302",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae48f8737ae14cfce01b61,1,,38.838223,-77.106478,,Alexandria West,5ca7b72a737ae14b3cac1bfd,Alexandria,209330,192149558,VA,3314 S 28th St APT 203,22302
12,5ca7b72a737ae14b3cac1bfe,[],auction_time,,date_of_auction,14:34.6,21499.9,,lawfirm,listing_url,214999,principal_date,"3407 valley drive, alexandria, va 22302",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae48f8737ae14cfce01b62,1,,38.836452,-77.07937,,North Ridge-Rosemont,5ca7b72a737ae14b3cac1bfe,Alexandria,320465,192143023,VA,3407 Valley Dr # 701,22302
16,5ca7b72a737ae14b3cac1bff,[],auction_time,,date_of_auction,14:34.8,82500,,lawfirm,listing_url,82500,principal_date,"1773 potomac greens drive alexandria, va 22314",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae48f8737ae14cfce01b63,2.5,,38.828766,-77.045339,1602,Potomac Yard-Potomac Greens,5ca7b72a737ae14b3cac1bff,Alexandria,975475,192157428,VA,1773 Potomac Greens Dr,22314
20,5ca7b72a737ae14b3cac1c00,[],auction_time,,date_of_auction,14:35.0,11000,,lawfirm,listing_url,262500,principal_date,"203 yoakum parkway, unit 1707 alexandria, va 22304",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae48f9737ae14cfce01b64,2,,38.812383,-77.139957,,Landmark-Van Dom,5ca7b72a737ae14b3cac1c00,Alexandria,264118,192138567,VA,203 Yoakum Pkwy APT 1707,22304
27,5ca7b72b737ae14b3cac1c02,[],auction_time,,date_of_auction,14:35.5,10875,,lawfirm,listing_url,108750,principal_date,"3408 gunston road # 735, alexandria, va 22302",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae49f2737ae14cfce01b6c,1,,38.836441,-77.077834,,North Ridge-Rosemont,5ca7b72b737ae14b3cac1c02,Alexandria,327258,192143024,VA,3408 Gunston Rd # 735,22302
30,5ca7b72b737ae14b3cac1c03,[],auction_time,,date_of_auction,14:35.7,5075,,lawfirm,listing_url,50750,principal_date,"402 bashford lane apt 202, alexandria, va 22314",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae49f2737ae14cfce01b6d,1,1,38.817837,-77.041377,,Old Town North,5ca7b72b737ae14b3cac1c03,Alexandria,270650,192145261,VA,402 Bashford Ln APT 202,22314
36,5ca7b72d737ae14b3cac1c05,[],auction_time,,date_of_auction,14:37.0,20000,,lawfirm,listing_url,278629,principal_date,"114 catoctin circle, sw, leesburg, va 20175",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae49f3737ae14cfce01b6f,3,3,39.108764,-77.570362,2178,Leesburg,5ca7b72d737ae14b3cac1c05,Leesburg,274861,12411673,VA,114 Catoctin Cir SW,20175
39,5ca7b72d737ae14b3cac1c06,[],auction_time,,date_of_auction,14:37.3,20000,,lawfirm,listing_url,75000,principal_date,"3 berkeley court, sterling, va 20165",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae49f3737ae14cfce01b70,2.5,3,39.043964,-77.411509,1742,Sterling,5ca7b72d737ae14b3cac1c06,Sterling,363375,12386539,VA,3 Berkeley Ct,20165
45,5ca7b72d737ae14b3cac1c08,[],auction_time,,date_of_auction,14:37.8,76000,,lawfirm,listing_url,76000,principal_date,"1825 potomac greens drive alexandria, va 22314",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae49f4737ae14cfce01b72,3.5,,38.829816,-77.045387,1280,Potomac Yard-Potomac Greens,5ca7b72d737ae14b3cac1c08,Alexandria,915272,192157449,VA,1825 Potomac Greens Dr,22314
48,5ca7b72e737ae14b3cac1c09,[],auction_time,,date_of_auction,14:38.1,43900,,lawfirm,listing_url,439000,principal_date,"7514 rolling rd, springfield, va 22153",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae49f4737ae14cfce01b73,3,3,38.753043,-77.216813,14784,Springfield,5ca7b72e737ae14b3cac1c09,Springfield,569821,51940122,VA,7514 Rolling Rd,22153
57,5ca7b72f737ae14b3cac1c0c,[],auction_time,,date_of_auction,14:39.0,20000,,lawfirm,listing_url,205000,principal_date,"3507 tyler street, falls church, va 22041",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae49f5737ae14cfce01b76,3,3,38.848719,-77.138576,16091,Falls Church,5ca7b72f737ae14b3cac1c0c,Falls Church,566104,51849756,VA,3507 Tyler St,22041
63,5ca7b72f737ae14b3cac1c0e,[],auction_time,,date_of_auction,14:39.8,20000,,lawfirm,listing_url,211105,principal_date,"8772 dunstable loop, bristow, va 20136",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae49f6737ae14cfce01b78,3,3,38.766855,-77.563528,1306,Bristow,5ca7b72f737ae14b3cac1c0e,Bristow,338575,52003853,VA,8772 Dunstable Loop,20136
66,5ca7b730737ae14b3cac1c0f,[],auction_time,,date_of_auction,14:40.0,20000,,lawfirm,listing_url,180000,principal_date,15612,http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae49f7737ae14cfce01b79,,0,40.141,-79.5868,6664,East Huntingdon,5ca7b730737ae14b3cac1c0f,Alverton,53614,186774496,PA,15612-1000 Thousand,15612
69,5ca7b730737ae14b3cac1c10,[],auction_time,,date_of_auction,14:40.3,-0.2,,lawfirm,listing_url,-2,principal_date,"8318 shimmering rock road, gainesville, virginia 20155",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae49f7737ae14cfce01b7a,4.5,4,38.771504,-77.60472,15376,Gainesville,5ca7b730737ae14b3cac1c10,Gainesville,601394,69218725,VA,8318 Shimmering Rock Rd,20155
72,5ca7b730737ae14b3cac1c11,[],auction_time,,date_of_auction,14:40.5,-0.1,,lawfirm,listing_url,-1,principal_date,"1266 cobble pond way, vienna, virginia 22182",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae49f7737ae14cfce01b7b,5.5,4,38.972299,-77.311371,25000,Vienna,5ca7b730737ae14b3cac1c11,Vienna,1229987,51711926,VA,1266 Cobble Pond Way,22182
75,5ca7b730737ae14b3cac1c12,[],auction_time,,date_of_auction,14:40.7,33000,,lawfirm,listing_url,330000,principal_date,"9331 cougar court, manassas park, va 20111",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae49f8737ae14cfce01b7c,3.5,4,38.764054,-77.421589,7579,Manassas Park,5ca7b730737ae14b3cac1c12,Manassas Park,439850,55737586,VA,9331 Cougar Ct,20111
81,5ca7b731737ae14b3cac1c14,[],auction_time,,date_of_auction,14:41.2,-0.2,,lawfirm,listing_url,-2,principal_date,"2236 coppersmith square, reston, virginia 20191",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae49f8737ae14cfce01b7e,1.5,3,38.937537,-77.353489,1306,South Lakes Dr - Soapstone Dr,5ca7b731737ae14b3cac1c14,Reston,327578,51737956,VA,2236 Coppersmith Sq,20191
87,5ca7b731737ae14b3cac1c16,[],auction_time,,date_of_auction,14:41.6,32200,,lawfirm,listing_url,322000,principal_date,"1413 d st, woodbridge, virginia 22191",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae49f9737ae14cfce01b80,3,3,38.657906,-77.257305,9583,Marumsco Village,5ca7b731737ae14b3cac1c16,Woodbridge,323651,12466879,VA,1413 D St,22191
90,5ca7b732737ae14b3cac1c17,[],auction_time,,date_of_auction,14:42.3,20000,,lawfirm,listing_url,201286,principal_date,"1813 old post terrace, woodbridge, va 22191",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae49f9737ae14cfce01b81,4,4,38.622122,-77.271411,1481,Rippon Landing,5ca7b732737ae14b3cac1c17,Woodbridge,259062,12476054,VA,1813 Old Post Ter,22191
172,5ca7b738737ae14b3cac1c33,[],auction_time,,date_of_auction,14:49.0,-0.1,,lawfirm,listing_url,-1,principal_date,"1610 fielding lewis way, mclean, va 22101",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae4add737ae14cfce01bd3,4.5,4,38.926514,-77.144938,19400,McLean,5ca7b738737ae14b3cac1c33,Mclean,1520067,51759087,VA,1610 Fielding Lewis Way,22101
174,5ca7b739737ae14b3cac1c34,[],auction_time,,date_of_auction,14:49.3,52200,,lawfirm,listing_url,522000,principal_date,"3222 norfolk lane, falls church, va 22042",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,5cae4ade737ae14cfce01bd4,2,,38.860496,-77.200244,10319,Falls Church,5ca7b739737ae14b3cac1c34,Falls Church,491105,51843398,VA,3222 Norfolk Ln,22042
